cluster,,,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
lv,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opt,,,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0
planning_horizon,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,AL0 0,residential rural solar thermal,0.05018195084091611,0.050342705546810355,0.04305666782589577,0.03997016087416755,0.040812673781816196,0.038277222566308104,0.03975410178444867,0.05074499706648161,0.04915557668446279,0.047211379952062905,0.04080987378517922,0.04319522174222465,0.03777468332922653,0.0385833890869149,0.04975257264824976,0.046661807125372406,0.04861053241264168,0.039799027801812555,0.03803496809168862,0.03613552309177384,0.03338218256021114,0.04886242633132571,0.045777612066903534,0.051564443087118654,0.04271450931197583,0.03360538338118419,0.03897348538405273,0.03164951871028166,0.048954885719026196,0.047022962156211295,0.04822696641889044,0.047260332388522654,0.039563950177960085,0.04132520224850021,0.032185785051306384,0.050436537129435265,0.04582577395686074,0.049282333529259204,0.04960899895110219,0.043853787091981296,0.040833615078973456,0.039681495769164216
generators,AL0 0,services rural solar thermal,0.05003904752599011,0.05041833471237419,0.043228072074653796,0.04030357510324776,0.04112447133307307,0.03940130217213021,0.04116626884281642,0.05046811195453402,0.05103057507821124,0.047666934353355644,0.04146393269150661,0.042857651874680214,0.03892617614066322,0.03877919833012568,0.049546850666159006,0.04694116174351469,0.048976291194708026,0.03976710892551962,0.03812732730973696,0.03720245865112057,0.03366508784926368,0.04857933174298843,0.04615428360467343,0.051894484639461676,0.043011398436571195,0.03432726109670257,0.03979285853916235,0.031535176536610754,0.04868136328848163,0.04775600285954137,0.04934560028991905,0.04752624128394679,0.04138545072800104,0.04339644968195757,0.032177946331626295,0.050224830362380624,0.047210789177003165,0.05138592658555362,0.05052800109379832,0.04477212381590477,0.0422570376979688,0.039516966509721196
generators,AL0 0,solar,0.11847393562033097,0.12970042923783726,0.12906737905910376,0.1303684807061261,0.1304604133548808,0.13096962429318665,0.13104925814693397,0.11846915781474052,0.1310202504204937,0.12744601389929613,0.1294202936972689,0.13022765880900017,0.13045124246912188,0.13060524805770254,0.11846295703685765,0.13107360840060586,0.12895417959581537,0.127846905607729,0.1293874774103695,0.12932462279425175,0.1293204079673618,0.11849295285282234,0.13107383992294191,0.12952417655711995,0.1285536656462704,0.12883186275399675,0.1291071022063915,0.1294552375101894,0.11846551214630684,0.13107385890854725,0.13055049257605494,0.12911304980382785,0.12803970662741707,0.1289854587037991,0.12976653424238713,0.11848525986874557,0.12769646058185247,0.13104515639340944,0.12944314108899654,0.12840639001303017,0.12856074816521595,0.13041127987519044
generators,AL0 0,solar rooftop,0.11435722670486789,0.11650271094765625,0.13065574818732312,0.13106717281733105,0.13107216637413718,0.13107373258013363,0.1310739216258823,0.11430489276160107,0.12213334837822282,0.13093434739411078,0.13104445725871391,0.13106461701866118,0.1308353996267076,0.13106088914614725,0.11431740959356321,0.11690059019648272,0.13091089053564758,0.1310372714198634,0.1310603568048438,0.130959361948797,0.12831400640766788,0.11443314523635024,0.11673867900213863,0.13099123982596192,0.13099344646195135,0.13105144000208796,0.1310389600125528,0.1283886515732329,0.11427269535216898,0.11671709619304334,0.13104789158479996,0.13079785885036607,0.1310346711208275,0.13106482561402957,0.12845171168422773,0.11439665069804719,0.11520042600396752,0.1310729354674477,0.1308314124420064,0.1310202009801531,0.13091952721950534,0.1284254768501222
generators,AL0 0,urban central solar thermal,0.061143316688149145,0.06626412878503903,0.03464304377260686,0.03534097062565095,0.04046760316897307,0.0450937241511396,0.050479174955680224,0.06106111136908059,0.06445290092189025,0.06644894883678307,0.02935650940650563,0.024582772534558078,0.03034017213418614,0.04299016008916706,0.06103641285060122,0.061531308010858106,0.06647707458548066,0.06572414303187817,0.03125348473723831,0.0253687058829394,0.02475104688372628,0.06106568173397722,0.06115743921777394,0.06648515851613016,0.06629490483409867,0.06630606402797601,0.06369360254737268,0.027908357626010006,0.06102863577613369,0.06013427341075571,0.06280599284475422,0.06599847763016263,0.06537696086161428,0.06644027212330407,0.037043995008148506,0.061145845101933674,0.05750555090590712,0.060242681621280145,0.06489292174968259,0.06608341778083197,0.06307595525552409,0.0480899473275004
generators,AT0 0,onwind,0.012230167637542233,0.012222221454351343,0.01181756364497025,0.012060215847982886,0.012145350490980257,0.012193565602187996,0.006410633608493943,0.012236729384553816,0.012079768926693508,0.011664826445601429,0.01200048727677405,0.01207213006971396,0.012082856065382001,0.006481530215412231,0.012233291850248254,0.012184844952919051,0.012199429380574847,0.012034832752750165,0.012091754050386995,0.012077662509218663,0.006523988899533411,0.012236081148535437,0.01222641954889112,0.012220039939614357,0.012083313794411283,0.01203721599330573,0.01213007829517603,0.006493751888858878,0.012235232749688919,0.012227438701464933,0.012238275299491794,0.012107580121128107,0.012177249767035995,0.011980119883012796,0.006585313680794547,0.012235278652402024,0.012225075181628525,0.012232669357417531,0.012168712125234328,0.012186545421962357,0.012051125088379015,0.006473626907344316
generators,AT0 0,residential rural solar thermal,0.028719239435868443,0.031986599385774354,0.028497650471134752,0.026560839826392766,0.02439685522043136,0.02271593617802851,0.025381170182460798,0.028819580219080574,0.02989359548978544,0.030063570199954023,0.027226050779402794,0.028123444998966515,0.022865981006430256,0.02567817825933048,0.028940557814119167,0.028955084676718146,0.02907772601898991,0.025888341489890544,0.02382501392094165,0.024050454590496408,0.021942499242312844,0.030064992524026373,0.028693071889423518,0.03219110718508998,0.026995938929433697,0.023128215398896042,0.024221611213115838,0.022173325727223886,0.02818187214778543,0.02957483409746911,0.03005937594128144,0.028986966804903595,0.024169198790505466,0.02734588294915408,0.021272503003402582,0.028577504534537373,0.028726643030692306,0.03171499279116875,0.03153147783705499,0.026326997990946902,0.025422755463888617,0.027551460265630507
generators,AT0 0,ror,0.4203603832372929,0.4203605410485894,0.4201878436446838,0.4203562959377173,0.4203600961230029,0.42036060295177796,0.42036069326555237,0.42036048983501073,0.42035862037485405,0.4201643377245376,0.42035067452273783,0.4203588391025179,0.4203598971587684,0.42036051265118124,0.42036043592670974,0.4203600127656524,0.4203589243946987,0.4203561632995074,0.4203578694767781,0.4203593870939516,0.4203593331346908,0.4203604756187875,0.4203604418823895,0.42036050355005605,0.42035857668706844,0.4203592862572052,0.42035932558110767,0.420358385684135,0.42036048876740567,0.4203604522222422,0.42036053770000276,0.42035235198735155,0.42035943490408595,0.4203599639902298,0.42035785937693654,0.42036047096452367,0.42036046154650725,0.42036055873105793,0.4203554963235276,0.4203597786453549,0.42035479321977176,0.4203581568251469
generators,AT0 0,services rural solar thermal,0.028504405182232326,0.031611799686472264,0.02866037770105827,0.026476757571869108,0.024853784795847197,0.023196906307723877,0.02565264542124751,0.02867374533326887,0.029534202880211358,0.030066249997038157,0.027079922630641524,0.028415830502361916,0.02328879476376392,0.025882149349894343,0.028718538708030927,0.02850596171248477,0.029077868289922103,0.025969974704320508,0.023803527753469046,0.024063991843957636,0.02203409623640434,0.029901154091838484,0.028251574420940305,0.03238543758904788,0.027109549218274732,0.02311354313979288,0.024447046073897572,0.021601093927497973,0.02806312253537745,0.029402566482431936,0.030110864558490463,0.02931567903152765,0.024454483579242136,0.02721015293675355,0.020785826834104217,0.028420227149962594,0.02816403713275827,0.03143028332310813,0.0317017952704687,0.026914656677519144,0.0252489917324792,0.027492150389100377
generators,AT0 0,solar,0.10741043021348194,0.10744224652489198,0.10386073111643049,0.10295646221386524,0.10462345061769103,0.10616838522869283,0.10734451586951187,0.10742078400328926,0.10716464690523862,0.10694192672521272,0.10628980630274817,0.10672973134153135,0.10669932123691371,0.10712229863399325,0.10741483074420999,0.10734334411327842,0.1074329424257855,0.10577899095887122,0.10532310067165672,0.10501117517967103,0.10571539828417988,0.10742121477730883,0.10740502907740393,0.10744224749533132,0.10673057478443906,0.10637877666252525,0.1062729777966511,0.103489322813677,0.10742163372708959,0.10741075738239954,0.10744168916486374,0.10739103719136928,0.10691294589427504,0.10675033065444643,0.10455183773820034,0.10741863854898932,0.10741108953469301,0.10741711069297531,0.10739544527294086,0.10719473825391941,0.10730034855245793,0.10469269641683346
