cluster,,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
lv,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opt,,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0
planning_horizon,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,oil,0.9422773908717237,0.6302347865239692,0.8139392138099656,0.988302700847167,0.9976350382584037,0.995740213288738,0.9982136426180871,0.9181975976247972,0.7494431472691052,0.7695259185986889,0.829243086328829,0.9746078286553812,0.9958531648370825,0.9984418853914507,0.9225668547641203,0.7000611693864477,0.7287446577236198,0.8757517400655666,0.8546238184757052,0.915756257745584,0.9682865805871087,0.9870335407840816,0.6382143873321622,0.6884362902180251,0.8521454151407117,0.9417122193137814,0.9939899148857627,0.9906654944595935,0.9206733100361641,0.7268708874805793,0.8504822726435639,0.6577497147222376,0.793605573432964,0.961955483784264,0.9997846340218552,0.8900156149728768,0.6947641700408526,0.8568283261006671,0.8006114668198785,0.8691015043505599,0.9722135249645117,0.9981249780462559
generators,onwind,0.3605076061427571,0.32710599338440527,0.30910902914280775,0.3092685962165272,0.3118476680995971,0.31175117084922394,0.3013756106019532,0.3605096979678288,0.35338761251592776,0.31119524251896147,0.31348278334241375,0.31510934345230285,0.31592885623657463,0.31597385538570616,0.36050818755195746,0.35451035469604875,0.3256164841836325,0.3217226208869653,0.3196309193029271,0.3190080139247467,0.31539496507363063,0.36050930834875644,0.3544847539442968,0.3387077263113041,0.3283858689151042,0.32562183177614734,0.3260233837717581,0.3163532783028807,0.3605097017955254,0.35579461590587486,0.3496357789737593,0.33395214793845757,0.3326645421536384,0.33246038193117666,0.3166464560790475,0.360509411702991,0.3606031287300039,0.35115130597518374,0.3429809410550291,0.3385156257465776,0.3366392509186028,0.31688772919043584
generators,residential rural solar thermal,0.03754399456133287,0.03787935294462823,0.033226279299677135,0.03068170438822221,0.029346161064716502,0.027558820207043394,0.030140008160156287,0.03785026779131308,0.03726847718839539,0.03637878263101868,0.03161585383634241,0.0328874854551483,0.028162709844793018,0.029698682097138496,0.037526127721363677,0.0362374624989693,0.0347895323649722,0.03057540110580184,0.02854251475600776,0.02876821127873985,0.026940859523931045,0.03733451637624062,0.036340462100881,0.038483241681925635,0.030812049031052436,0.02635036280570705,0.029740983887866893,0.026652798854850987,0.036207289247297984,0.0366942836059617,0.0365860605714322,0.03433731661420258,0.03000356174160275,0.03223929309432661,0.02655027050564874,0.03759647604105875,0.03580165628453796,0.037735741242567684,0.038052615446187155,0.03174122661945085,0.0297491783173674,0.03329359163545901
generators,residential urban decentral solar thermal,0.05304514846448927,0.05320045227491649,0.04947364453449021,0.04737582110492698,0.046570989706188476,0.04089747234772883,0.04542203108529535,0.05330425049834638,0.05400415608632949,0.0526296630738638,0.049190129277702783,0.05135799136995467,0.04543732999256598,0.04733921196612368,0.053096554299938425,0.05162324144149276,0.051171404975604844,0.048135367963885095,0.048090804700991384,0.049270052063360714,0.04777445090441999,0.053199390753402395,0.051158997145374877,0.05510670522497188,0.046396638229166315,0.042651693776783677,0.050648402103393796,0.04530418914654252,0.05163336061989016,0.051827751987896124,0.05304134187232472,0.050869148779621905,0.04622237756173688,0.05114697590436396,0.046390712040058214,0.05299120165801618,0.050698962092256085,0.054132587566739075,0.05534029968893752,0.048967922488313755,0.047983809620036656,0.053425975691235514
generators,ror,0.4638450570979132,0.4637523986489089,0.4632188174841323,0.46355813125211554,0.46364947634533266,0.4637718266618125,0.4638228793879699,0.46384533940028616,0.4638354526815325,0.4633640639987991,0.46351200444304264,0.46365116298563874,0.46368467499095684,0.463718050711933,0.4638451700554789,0.46384379034087675,0.46365887235056896,0.46352505548944106,0.46355488543659806,0.4636210672854397,0.46353528564235447,0.4638453165001982,0.4638450639833893,0.4637190275538906,0.4635565219053547,0.4635894494573495,0.4635893321846443,0.46363280485450453,0.463845380295407,0.46384512068598266,0.46384339027609484,0.4636322821061915,0.46358141175664197,0.46362527130429476,0.46360821250249934,0.46384528295431776,0.46384513491934837,0.4638446821013125,0.46369810697580194,0.46363645039034773,0.4635557642279548,0.4635631833463701
generators,services rural solar thermal,0.03705425787496632,0.03737730750981523,0.03297009283734716,0.03067122675387464,0.02964032692639063,0.028003778009600508,0.030492594792238568,0.037390608065775835,0.03679808813805451,0.036504265218487736,0.03151330942623929,0.03278959358805866,0.028531576746763182,0.0298119974343907,0.03699415332301781,0.035721672882762,0.034860388915989686,0.030407097308069713,0.028478119504704223,0.028593002333515874,0.026712211070696313,0.036841897996563566,0.035654319316162385,0.03848589736382138,0.031065862216339394,0.02614818575723115,0.0299217667676528,0.02617981196025393,0.035844776866737406,0.036293421676789894,0.03661107149514576,0.03437706921830976,0.03023684599462631,0.03234354280742303,0.026360616492857706,0.0371384538279976,0.03545181091149811,0.03751640357721753,0.038066544427657334,0.032376197116978395,0.02994527253800331,0.03328337569216665
generators,services urban decentral solar thermal,0.05607752419784588,0.057949690824155825,0.05459813752161168,0.05377184619520028,0.052702160536187106,0.04856331169639968,0.049531750257473986,0.05665543709272838,0.05870671939420512,0.05719696341321616,0.05501843256353743,0.05556536353876438,0.048906128022072136,0.0500086111012214,0.05565188829890123,0.05691721648143878,0.058138303106504766,0.05312709032414988,0.05113439095524719,0.05244164596407543,0.051912123622522566,0.05480591589691327,0.05842452324410514,0.05938368953083913,0.04962852054059407,0.049592625356750235,0.05463188070462925,0.047343358636328624,0.05532648713947797,0.056830180212564994,0.05771364619722461,0.05627921103781837,0.052924288846021066,0.05541563389225778,0.05190134625407215,0.05632982067282609,0.055848307412819514,0.05851214807552584,0.058477670564685086,0.05592383383931917,0.05207564114087723,0.058146014928475605
generators,solar,0.1542552612278335,0.13969531770412205,0.1305800608262311,0.13325938582973992,0.13393165173375834,0.13413692761220491,0.13438438980219922,0.1542593181634012,0.1469863247351622,0.12606081095867236,0.1302397009162626,0.1340941573226205,0.13483361501965727,0.13495075728529235,0.15425723284431034,0.15065893449121623,0.13417847582627385,0.12731631683219183,0.13274492264801663,0.1351026829447201,0.13477982247828588,0.15425906287463723,0.1507016690345504,0.13870137060293172,0.1284531152633715,0.1291284274532488,0.13382924839283086,0.13515194021377788,0.15425944302794545,0.1511492965432848,0.14486804740857692,0.13357115414994428,0.12857129409348655,0.1305662814051352,0.13521621291717545,0.1542586245215808,0.1538182406911348,0.14641029564553812,0.13776386306727245,0.12948717078713104,0.12925156990488545,0.1352339786666284
generators,solar rooftop,0.15098659015617555,0.15422134626362993,0.14124201913937923,0.13548410363348162,0.1345260286210764,0.13453047115766906,0.1347799729913497,0.15100806518747062,0.15052060152564956,0.14414307585913885,0.13705552675092272,0.13050021876477447,0.12593927854200704,0.1257682072668153,0.1509967927256751,0.15089316896078167,0.14686042821649614,0.13584001397309597,0.13045689160543478,0.12527719477497531,0.11822870571492676,0.15100483140701054,0.15098903923459622,0.14736737668942054,0.13659524543674265,0.1308015471804279,0.12520426676159552,0.11736197709064368,0.15100947110589508,0.15099320086821372,0.14856710057717848,0.14283030242501912,0.13345251577377393,0.12405247293548329,0.11665715276088161,0.15100384245679788,0.1509996698322282,0.14879709591705456,0.14270302786074487,0.13803832271491656,0.12466302813795127,0.1164080548265159
generators,uranium,0.7955947463720667,0.924824347163821,0.81447864873881,0.5632221575225601,0.19866353036141354,0.08134400355725681,0.9299800773333344,0.8156157983659624,0.7187052569042037,0.9581151617434697,0.9624804032364812,0.9733484186937207,0.8560080861225001,0.8239511932513439,0.7255352915507977,0.6686250873605503,0.28120821850432365,0.8612784702409827,0.9784579507965737,0.9898338428880996,0.7906531009417261,0.9084376587402901,0.879799695514102,0.8823340671131602,0.10380422718261194,0.9447441247752442,0.9779969363655112,0.8501845414807921,0.9468082629957277,0.6672865785476285,0.694533043672917,0.5312047647503847,0.9788803164480233,0.9463471153540545,0.9589641665295846,0.8072239867728315,0.7392373627673754,0.4028107959134628,0.6390982686307876,0.9775663840159061,0.754504230596242,0.7229743810156558
