name,bus0,bus1,carrier,geometry,length,p_nom,tags,under_construction,underground,p_min_pu,underwater_fraction,capital_cost,efficiency,p_nom_extendable,bus2,bus3,bus4,efficiency2,efficiency3,efficiency4,lifetime,marginal_cost,build_year,p_nom_opt,charger_ratio,type,p_nom_min,p_nom_max,p_set,p_max_pu,terrain_factor
CZ0 0 coal-1995,EU coal,CZ0 0,coal,,0.0,536.3636363636364,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.183872616140383,1995.0,536.3636363636364,,,0.0,inf,0.0,1.0,1.0
DE0 0 coal-1995,EU coal,DE0 0,coal,,0.0,4761.818181818182,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.186279068610089,1995.0,4761.818181818182,,,0.0,inf,0.0,1.0,1.0
DK0 0 coal-1995,EU coal,DK0 0,coal,,0.0,2454.5454545454545,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1853391372808735,1995.0,2454.5454545454545,,,0.0,inf,0.0,1.0,1.0
GR0 0 coal-1995,EU coal,GR0 0,coal,,0.0,1878.7878787878788,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1856192575696602,1995.0,1878.7878787878788,,,0.0,inf,0.0,1.0,1.0
PL0 0 coal-1995,EU coal,PL0 0,coal,,0.0,2198.7878787878785,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1865012723616588,1995.0,2198.7878787878785,,,0.0,inf,0.0,1.0,1.0
PT0 0 coal-1995,EU coal,PT0 0,coal,,0.0,1745.4545454545453,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1846603144982077,1995.0,1745.4545454545453,,,0.0,inf,0.0,1.0,1.0
DE0 0 coal-2000,EU coal,DE0 0,coal,,0.0,413.3333333333333,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1858796791031334,2000.0,413.3333333333333,,,0.0,inf,0.0,1.0,1.0
PL0 0 coal-2000,EU coal,PL0 0,coal,,0.0,8187.878787878787,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1856575376565217,2000.0,8187.878787878787,,,0.0,inf,0.0,1.0,1.0
CZ0 0 coal-2005,EU coal,CZ0 0,coal,,0.0,193.93939393939394,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1853128459143276,2005.0,193.93939393939394,,,0.0,inf,0.0,1.0,1.0
DE0 0 coal-2005,EU coal,DE0 0,coal,,0.0,4212.121212121212,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.185288845719299,2005.0,4212.121212121212,,,0.0,inf,0.0,1.0,1.0
DK0 0 coal-2005,EU coal,DK0 0,coal,,0.0,145.283532611845,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1860215440080026,2005.0,145.283532611845,,,0.0,inf,0.0,1.0,1.0
GR0 0 coal-2005,EU coal,GR0 0,coal,,0.0,1000.0,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1845935094940463,2005.0,1000.0,,,0.0,inf,0.0,1.0,1.0
IE4 0 coal-2005,EU coal,IE4 0,coal,,0.0,2590.909090909091,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1865225597357205,2005.0,2590.909090909091,,,0.0,inf,0.0,1.0,1.0
IT6 0 coal-2005,EU coal,IT6 0,coal,,0.0,1634.4397418832561,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1859308987246782,2005.0,1634.4397418832561,,,0.0,inf,0.0,1.0,1.0
