name,bus0,bus1,carrier,geometry,length,p_nom,tags,under_construction,underground,p_min_pu,underwater_fraction,capital_cost,efficiency,p_nom_extendable,bus2,bus3,bus4,efficiency2,efficiency3,efficiency4,lifetime,marginal_cost,build_year,p_nom_opt,charger_ratio,type,p_nom_min,p_nom_max,p_set,p_max_pu,terrain_factor
RS0 0 coal-2025,EU coal,RS0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1655212274383882,2025.0,2367.27612665273,,,0.0,inf,0.0,1.0,1.0
SE1 0 coal-2025,EU coal,SE1 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1644474365160324,2025.0,0.0015908832252455954,,,0.0,inf,0.0,1.0,1.0
SI0 0 coal-2025,EU coal,SI0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1642410302881794,2025.0,7567.344179367647,,,0.0,inf,0.0,1.0,1.0
SK0 0 coal-2025,EU coal,SK0 0,coal,,0.0,0.0,,,,0.0,,115492.26269785289,0.33,True,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1647728952816383,2025.0,0.003486878461958058,,,0.0,inf,0.0,1.0,1.0
AT0 0 coal-1985,EU coal,AT0 0,coal,,0.0,195.57398620825285,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1751359777310713,1985.0,195.57398620825285,,,0.0,inf,0.0,1.0,1.0
BG0 0 coal-1985,EU coal,BG0 0,coal,,0.0,4762.755994172793,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1734556121384054,1985.0,4762.755994172793,,,0.0,inf,0.0,1.0,1.0
CZ0 0 coal-1985,EU coal,CZ0 0,coal,,0.0,1069.6969696969697,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1749208848855615,1985.0,1069.6969696969697,,,0.0,inf,0.0,1.0,1.0
DE0 0 coal-1985,EU coal,DE0 0,coal,,0.0,34196.18119819919,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.176146328881548,1985.0,34196.18119819919,,,0.0,inf,0.0,1.0,1.0
DK0 0 coal-1985,EU coal,DK0 0,coal,,0.0,1196.969696969697,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1755077102021496,1985.0,1196.969696969697,,,0.0,inf,0.0,1.0,1.0
ES0 0 coal-1985,EU coal,ES0 0,coal,,0.0,8274.030303030302,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.17376331391748,1985.0,8274.030303030302,,,0.0,inf,0.0,1.0,1.0
FI1 0 coal-1985,EU coal,FI1 0,coal,,0.0,9211.21212121212,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1739897355190347,1985.0,9211.21212121212,,,0.0,inf,0.0,1.0,1.0
FR0 0 coal-1985,EU coal,FR0 0,coal,,0.0,3606.060606060606,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.176161847801562,1985.0,3606.060606060606,,,0.0,inf,0.0,1.0,1.0
GB4 0 coal-1985,EU coal,GB4 0,coal,,0.0,1696.969696969697,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1754101784342685,1985.0,1696.969696969697,,,0.0,inf,0.0,1.0,1.0
IT0 0 coal-1985,EU coal,IT0 0,coal,,0.0,23012.81179220928,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1749659142876099,1985.0,23012.81179220928,,,0.0,inf,0.0,1.0,1.0
IT6 0 coal-1985,EU coal,IT6 0,coal,,0.0,4523.8524704187175,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1751175266151628,1985.0,4523.8524704187175,,,0.0,inf,0.0,1.0,1.0
PL0 0 coal-1985,EU coal,PL0 0,coal,,0.0,927.2727272727273,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1732065366310904,1985.0,927.2727272727273,,,0.0,inf,0.0,1.0,1.0
AT0 0 coal-1990,EU coal,AT0 0,coal,,0.0,2133.333333333333,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1739603929615297,1990.0,2133.333333333333,,,0.0,inf,0.0,1.0,1.0
DE0 0 coal-1990,EU coal,DE0 0,coal,,0.0,9193.636363636364,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1757245433771129,1990.0,9193.636363636364,,,0.0,inf,0.0,1.0,1.0
DK0 0 coal-1990,EU coal,DK0 0,coal,,0.0,1896.9696969696968,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.175541378680323,1990.0,1896.9696969696968,,,0.0,inf,0.0,1.0,1.0
DK1 0 coal-1990,EU coal,DK1 0,coal,,0.0,1603.030303030303,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1762005221786664,1990.0,1603.030303030303,,,0.0,inf,0.0,1.0,1.0
GR0 0 coal-1990,EU coal,GR0 0,coal,,0.0,1818.181818181818,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1733552997596859,1990.0,1818.181818181818,,,0.0,inf,0.0,1.0,1.0
PL0 0 coal-1990,EU coal,PL0 0,coal,,0.0,1351.5151515151515,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1751341486881999,1990.0,1351.5151515151515,,,0.0,inf,0.0,1.0,1.0
PT0 0 coal-1990,EU coal,PT0 0,coal,,0.0,3575.7575757575755,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1742262546923612,1990.0,3575.7575757575755,,,0.0,inf,0.0,1.0,1.0
RO0 0 coal-1990,EU coal,RO0 0,coal,,0.0,4563.636363636363,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1759673849556371,1990.0,4563.636363636363,,,0.0,inf,0.0,1.0,1.0
SI0 0 coal-1990,EU coal,SI0 0,coal,,0.0,745.4545454545454,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.175305324091855,1990.0,745.4545454545454,,,0.0,inf,0.0,1.0,1.0
CZ0 0 coal-1995,EU coal,CZ0 0,coal,,0.0,536.3636363636364,,,,0.0,,115492.26269785289,0.33,False,co2 atmosphere,,,0.34,1.0,1.0,40.0,1.1743864465048852,1995.0,536.3636363636364,,,0.0,inf,0.0,1.0,1.0
