cluster,lv,opt,planning_horizon,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,2020,705432538549.6075,705432538549.6075,705432538549.6075,705432538549.6075,705432538549.6075,705432538549.6075,705432538549.6075,705432538549.6075,705432538549.6075,705432538549.6075
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,2025,674877559023.7123,642122840746.8605,611257398070.5837,582155310797.5963,554700159505.1735,528784226657.4403,504307771664.3638,481178372427.58044,459310326726.69336,438624107517.9247
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,2030,651386510251.7982,589691710193.9402,534363816246.673,484692738524.1762,440053386382.5936,399894811821.2425,363730825077.57,331131871392.6056,301717989774.8403,275152701396.42896
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,2035,626700660624.3104,539808284903.3479,465647822137.39844,402255306463.1292,347984630671.63855,301453733145.1996,261500289218.40625,227145159950.51846,197562184758.45718,172053171857.43506
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,2040,616763981179.947,505465510279.24133,415064478627.7018,341487262434.7734,281483029897.66724,232451857921.60318,192309924704.9874,159383532988.03342,132325606553.54684,110049745947.5913
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,2045,602221616716.9194,469593412404.55133,367072666288.41144,287624398073.76105,225903447111.06314,177837712592.8135,140316811954.88394,110958837566.20569,87935138766.27214,69838337414.87474
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c1.2,2050,713919185135.4312,529673004899.8851,394133999197.53156,294125251640.18274,220114612201.62585,165184799603.1051,124300562783.54329,93785505232.59534,70947384274.88681,53808900087.26419
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,2020,712661483238.9626,712661483238.9626,712661483238.9626,712661483238.9626,712661483238.9626,712661483238.9626,712661483238.9626,712661483238.9626,712661483238.9626,712661483238.9626
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,2025,699170394605.3752,665236640257.4851,633260167715.0283,603110524167.939,574667099569.7903,547818298993.3893,522460791594.8528,498498828457.7752,475843622431.8769,454412783824.6326
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c1.5,2030,868189242720.7318,785960395639.8586,712217569235.8507,646014332487.2922,586517544142.1307,532992882687.77234,484792338509.1482,441343386976.0605,402139603653.41626,366732518555.82135
